	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
33	5281792	C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O	O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O	DOUMFZQKYFQNTF-WUTVXBCWSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
34	6440747	COC(=O)C1=CO[C@H](/C(=C/CO)/[C@@H]1CC(=O)OCCC2=CC(=C(C=C2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O	COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C(=C/CO)[C@@H]1CC(=O)OCCc1ccc(O)c(O)c1	JCWFMPVGIIRRRG-AXPMACIOSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
35	5281544	C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC(=C(C=C3)O)O	C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1	RFWGABANNQMHMZ-ZCHJGGQASA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
36	1794427	C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O	CWVRJTMFETXNAD-JUHZACGLSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
37	5281612	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O	MBNGWHIJMBWFHU-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
38	5280445	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	IQPNAANSBPBGFQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
39	49852298	C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3[O-])[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	ODBRNZZJSYPIDI-VJXVFPJBSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
40	5280666	COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O	SCZVLDHREVKTSH-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
41	5280343	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	REFJWTPEDVJJIY-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
42	90657147	C1[C@H](OC2=CC(=CC(=C2C1=O)[O-])O)C3=CC(=C(C=C3)O)O	O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	SBHXYTNGIZCORC-ZDUSSCGKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
