	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
27	CHEMBL558406	CSc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1	CSc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1	FZNNAUXTFHPMLS-ZRURSIFKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
28	CHEMBL561047	Nc1nccc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1nccc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	KXHTUDZDRGHVIU-YFJUGSNPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
29	CHEMBL560505	COc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]2O)cc(OC)c1	COc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]2O)cc(OC)c1	DXYJRMVVNIFQRU-SYDIUPFYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
30	CHEMBL551174	O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@@H]1O	O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@@H]1O	GUQWGWJSVHHGHZ-AKIIDSJZSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
32	CHEMBL115145	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O	JWQFKVGACKJIAV-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
34	CHEMBL551100	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O	OFJQITMYJIEZGC-TWBCTODHSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
35	CHEMBL4638087	CN(Cc1ccc2cn[nH]c2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	CN(Cc1ccc2cn[nH]c2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	VAQZKMVTHKPELA-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
36	CHEMBL3358015	OC(CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21	OC(CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21	LJWMTSMUQJNHOC-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
37	CHEMBL557902	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	MEKRNVYIIASAEQ-YECHIGJVSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
38	CHEMBL550440	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	PPAKVYRRHNXOLG-TVDBPQCTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
39	CHEMBL562689	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@H]2CCCN2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@H]2CCCN2)[C@@H](O)[C@H]1O	KRSALZDJVWCEKY-NENBDWHOSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
40	CHEMBL538693	NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	FUSRAALGPJJIRO-QYVSTXNMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
42	CHEMBL597113	O=C(O)COc1ccc(C(=O)c2cc(Br)ccc2OCC(=O)O)cc1	O=C(O)COc1ccc(C(=O)c2cc(Br)ccc2OCC(=O)O)cc1	PTQLZKRWKHXUJU-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
43	CHEMBL563782	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@@H]2CCCN2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC[C@@H]2CCCN2)[C@@H](O)[C@H]1O	KRSALZDJVWCEKY-OPYVMVOTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
44	CHEMBL559283	O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)[C@H](O)[C@@H]2O)CN1	O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)[C@H](O)[C@@H]2O)CN1	JUNARBZTVSAGMF-ODXIBGGOSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
45	CHEMBL563570	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O)C(=O)O	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O)C(=O)O	PBQISZQQRZEGMN-ARYVQYHZSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
46	CHEMBL559715	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O	VNPWVMVYUSNFAW-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
47	CHEMBL552246	Nc1ncnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	ZTAQMRJGWYNIJC-NRJACJQQSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
48	CHEMBL538692	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	QELQPHOLOJTLJX-NRJACJQQSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
49	CHEMBL558882	Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	PSNQPEPVLPDXLJ-NRJACJQQSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
50	CHEMBL560045	Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1	Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1	OOFUPOXPGCUZGZ-HVMNINKTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
51	CHEMBL549412	NC(CCSC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	YMMPYUOHWIGNHQ-XTMLTMLVSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
52	CHEMBL556265	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	LCMRXADLVDEDPG-UEXBNONGSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
53	CHEMBL552309	Nc1ncnc2c1ccn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1ccn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	VIRPSVXGKGPXDV-NDXSAKOMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
54	CHEMBL560105	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	QAVAAPUGVSFKKD-SYDIUPFYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
55	CHEMBL551578	COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1	COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1	NFQHKFQQWMVPOZ-TVDBPQCTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
56	CHEMBL564490	CN1CC[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)C1	CN1CC[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)C1	GNEGVTFJIGGNMX-NENBDWHOSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
57	CHEMBL563938	NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	APAPOJUCRZTCHD-WOUKDFQISA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
58	CHEMBL559281	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCC[C@@H]2N)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCC[C@@H]2N)[C@@H](O)[C@H]1O	AZMZTOYPCSDNPY-IBCGMDAMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
59	CHEMBL563230	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	MEKRNVYIIASAEQ-RZBSXSLJSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
61	CHEMBL4647111	Cn1c(SCC(=O)Nc2ccc(Cl)c(C(=O)O)c2)nnc1-c1ccncc1	Cn1c(SCC(=O)Nc2ccc(Cl)c(C(=O)O)c2)nnc1-c1ccncc1	AOLFDXIDGVQXLJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
62	CHEMBL4647360	CN(Cc1cccnc1)C(=O)CCc1cccc(-c2nc3c(N)ncnc3[nH]2)c1	CN(Cc1cccnc1)C(=O)CCc1cccc(-c2nc3c(N)ncnc3[nH]2)c1	BDFDLLCOQMCPIS-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
63	CHEMBL4633225	CN(Cc1ccc2cc[nH]c2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	CN(Cc1ccc2cc[nH]c2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	LKYHEGADVDPMEJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
66	CHEMBL2336409	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	QSYLKMKIVWJAAK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
67	CHEMBL4632355	Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)ccc3C)c2)n1	Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)ccc3C)c2)n1	BXXIKXNXEVHDIV-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
68	CHEMBL4640870	O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1	O=C(CSc1ncnc2sccc12)N1CCN(Cc2cc(=O)n3ccsc3n2)CC1	HBTGBSDLKRXUMQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
69	CHEMBL4642377	C[C@@H](NC(=O)c1cccc(CN2CCCC2=O)c1)c1ccc(-n2ccnc2)cc1	C[C@@H](NC(=O)c1cccc(CN2CCCC2=O)c1)c1ccc(-n2ccnc2)cc1	KVCHSRDQDOZTBF-QGZVFWFLSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
